Арти 2   Kashemir 970,53 500 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Наполнение дивана – блок независимых пружин и высокоэластичный ППУ - обеспечивает равномерное распределение нагрузки, поэтому диван прослужит долго и сохранит свою форму. Надежный механизм «Еврософа» обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек. 
	"
Марио  Simple 15,63 600 сом,"
			Лаконичный диван со съемными подлокотниками. Ровное упругое сиденье дивана декорировано отделочными строчками и точечными утяжками. Подушки спинки в трех вариантах исполнения на выбор. Диван подходит для сна каждый день. Под сиденьем вместительный бельевой ящик. 
	"
Арти modern  Maserati 21,54 500 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Надежный механизм обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек.
Стандартные подлокотники придают солидности внешнему виду дивана. Это означает, что диван станет главной особенностью интерьера. 
	"
Фабио Нью Эра 12,59 600 сом,"
			Практичный диван со съемными подлокотниками. Сиденье, в основании которого — деревянный щит и независимый пружинный блок, мягкое и ровное, а съемные подушки-подлокотники позволяют при необходимости увеличить его площадь. На выбор две длины дивана — 1900 мм и 2020 мм. Ножки облицованы шпоном дуба цвета венге или ореха. Диван удобно раскладывать благодаря простому и надежному механизму трансформации. Спальные принадлежности легко помещаются в объемный бельевой ящик. При небольших габаритах дивана спальное место достаточно просторно.
Существует возможность выполнения облицовки данной модели тканью, простеганной на оборудовании фабрики. Стежка ткани выполняется машинным способом в виде геометрического повторяющегося рисунка.Выполнение обивки дивана в простеганной ткани существенно повышает эксплуатационные и эстетические качества изделия. Диван приобретает иной внешний вид, а обитые мягкие элементы и поверхности очень приятны при прикосновении. 
	"
Арно  Kashemir 230,75 700 сом,"
			В основании сиденья и спинки жесткие щиты, настил из высокоэластичного пенополиуретана высотой 140 мм. Диван удобно раскладывать благодаря простому и надежному механизму трансформации. Спальные принадлежности легко помещаются в бельевой ящик из ламинированного ДСП. Варианты обивки дивана — ткань, натуральная или искусственная кожа. Декоративные опоры из древесины твердых пород цвета венге, орех или махагон. На сиденье двойные отделочные строчки и утяжки. 
	"
Тофи,72 000 сом,"
			Линейный диван ""Тофи"" - современная модель европейского стиля с привкусом ретро. Он прекрасно впишется в интерьер Вашего пространства и станет полноценным местом для отдыха и сна.
У модели масса достоинств: компактные габаритные размеры в сочетании с достаточно просторным спальным местом; несъёмные подушки спинки освободят от решения вопроса «Куда пристроить на ночь диванные подушки?»; современный надёжный механизм трансформации спального места «пума»; высокие опоры предлагаются в трёх вариантах цвета, они не только придают ""изюминку"" дивану, но ещё и играют функциональную роль - Вы можете с легкостью делать уборку под самим диваном; задняя стенка дивана зашита в основную ткань, что позволяет располагать диван не только вдоль стены. 
	"
Арно  Kashemir 990,75 700 сом,"
			В основании сиденья и спинки жесткие щиты, настил из высокоэластичного пенополиуретана высотой 140 мм. Диван удобно раскладывать благодаря простому и надежному механизму трансформации. Спальные принадлежности легко помещаются в бельевой ящик из ламинированного ДСП. Варианты обивки дивана — ткань, натуральная или искусственная кожа. Декоративные опоры из древесины твердых пород цвета венге, орех или махагон. На сиденье двойные отделочные строчки и утяжки. 
	"
Элис   Atlanta  Lilac,100 900 сом,"
			Стиль «мид-сенчури» прочно вошел в нашу жизнь и его популярность растёт. Следую актуальным трендам, мы выпустили первую модель в этом стиле. Модель «Элис» выделяется среди других моделей в линейке своим художественным решением. Элегантно отогнутые подлокотники на деревянных опорах, лаконичные мягкие подушки – образ дивана с первого взгляда воспринимается как приятный и дружелюбный. Стоит отметить и прекрасные качества дивана. Комфорт посадки заслуживает самых высоких эпитетов. Всё это благодаря грамотно подобранным элементам настила и глубине сиденья. Спальное место так же удобно, как и просторно, а оптимальная мягкость настила соответствует самым высоким требованиям потребителей. Эта модель является по-настоящему интерьерной. Она послужит центром композиции или важной деталью для интерьеров в стиле «скандии», «индастриал», «лофт» и других современных направлениях. 
	"
Калипсо  Maserati 07,62 500 сом,"
			Комфорт – не единственное качество этой модели. Практичность и удобство трансформации, современные материалы: всё то, что сегодня ценит каждый. Простые формы модели позволяют с помощью подбора ткани создать настроение и образ дивана.
Диван Калипсо выполнен в модерновой стилистике, и органично впишется в аскетичные пространства «лофта», нарядный уют «прованса», экологичный «сканди». 
	"
Элис  Atlanta OCEAN,100 900 сом,"
			Стиль «мид-сенчури» прочно вошел в нашу жизнь и его популярность растёт. Следую актуальным трендам, мы выпустили первую модель в этом стиле. Модель «Элис» выделяется среди других моделей в линейке своим художественным решением. Элегантно отогнутые подлокотники на деревянных опорах, лаконичные мягкие подушки – образ дивана с первого взгляда воспринимается как приятный и дружелюбный. Стоит отметить и прекрасные качества дивана. Комфорт посадки заслуживает самых высоких эпитетов. Всё это благодаря грамотно подобранным элементам настила и глубине сиденья. Спальное место так же удобно, как и просторно, а оптимальная мягкость настила соответствует самым высоким требованиям потребителей. Эта модель является по-настоящему интерьерной. Она послужит центром композиции или важной деталью для интерьеров в стиле «скандии», «индастриал», «лофт» и других современных направлениях. 
	"
Марио slim  Glen vanilla 01,61 500 сом,"
			Простота и элегантность исполнения создают модели строгий, и, даже минималистичный образ, что четко соответствует современным трендам и актуальным направлениям мебельной моды.Лаконичный и элегантный облик дивана позволяет ему вписаться в практически любой современный интерьер, а варианты исполнения подлокотников увеличивают возможности применения. Модель «Марио» Slim может занять достойное место как в брутальном «лофте», так и в уютной квартирке. 
	"
Арти slim Vital GRAFIT,51 900 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Надежный механизм обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек.
Узкие подлокотники созданы для ограничения предельных габаритов мебели. Это означает, что диван органично впишется в заданное пространство. 
	"
Энио  Elva lagoon,88 500 сом,"
			Уютный диван-кровать. Отделочные строчки и глубокие утяжки на сиденье и подушках дивана предохраняют ткань от растяжения. Декоративные накладки и ножки выполнены из шпона дуба цвета венге или ореха. Спальные принадлежности легко помещаются в объемный бельевой ящик с воздухоотводами, благодаря которым белье дольше остается свежим. 
	"
Сити плюс,49 220 сом,"
			Модельный ряд мебели «Сити плюс» включает в себя диван-кровать двойку и кресло-кровать.
«Сити плюс» - компактный и уютный диван с мягкими подлокотниками и съёмными подушками. Несмотря на небольшой размер, он легко трансформируется в полноценное ровное спальное место. Спинка защищает во время сна от соприкосновения со стеной. Под сидением размещаются ламинированные ниши для белья.
Кресло-кровать удобное решение для экономии пространства комнаты и дополнительное спальное место. 
	"
Эдем,46 900 сом,"
			«Эдем» - стильный, мягкий и уютный диван.
Простой и надёжный механизм трансформации превращает внешне небольшой диван в полноценную кровать со спальным местом 1400 х 2000 мм. Сидение дивана представляет собой «пирог», в составе которого несколько слоёв высокоэлластичного повышенной мягкости поролона марки HR разной степени плотности. Мягкая спинка дивана защитит во время сна от соприкосновения со стеной. Под сидением находятся ниши для белья. Подушки трёх размеров со съёмными чехлами, наполненные высокоупругим, гиппоаллергенным волокном, помогают удобно устроиться на диване. В передней части подлокотника расположен механизм трансформации, который позволяет менять угол наклона.
«Эдем» можно превратить в настоящий арт-объект, комбинируя ткани на подушках и трансформируя подлокотники по своему желанию. 
	"
Арти modern  Atlanta Besee,66 600 сом,"
			Диван в стиле «минимализм», а значит, станет украшением просторного лофта, небольшой спальни или кухни. Надежный механизм обеспечивает легкую трансформацию дивана в кровать, что экономит время и усилия. Ход трансформации плавный, поэтому с диваном справится и ребёнок, и пожилой человек.
Стандартные подлокотники придают солидности внешнему виду дивана. Это означает, что диван станет главной особенностью интерьера. 
	"
Марио 2 Гранд каньон 104,82 600 сом,"
			Лаконичный диван со съемными подлокотниками. Ровное упругое сиденье дивана декорировано отделочными строчками и точечными утяжками. Подушки спинки в трех вариантах исполнения на выбор. Диван подходит для сна каждый день. Под сиденьем вместительный бельевой ящик. Декоративные накладки и ножки окрашены в цвет «венге». Обивка — ткань. 
	"
Бьёрг NEW Velutto 26,78 900 сом,"
			Представляем вашему вниманию новинку диван «Бьёрг»! Статный, стройный с нотками нордического характера этот диван способен влюбить с себя даже самого требовательного и искушенного зрителя. Диван выполнен в современном и актуальном стиле Mid-century modern, этот элегантный узнаваемый стиль сформировался в 50-е годы прошлого столетия на стыке баухауза, конструктивизма, американского и других направлений, основанных на принципах простоты и функциональности. Элегантные высокие ножки; мягкое, но упругое сиденье; тонкие и изящные подлокотники; «французский шов» на отделке подушек - все это неотъемлемая часть той эпохи, которая возрождена в современных скандинавских интерьерах.

Кроме эстетики в этой модели максимально удачно продуман функцонал: диван-кровать «Бьёрг» рассчитан на три посадочных места. Отличные эргономические качества обеспечивают высокую комфортность посадки. 
	"
